timestamp,mod,sF,id,fromType
1441279317438,BM,1,10,RGB
1441292541013,BM,1,10,RGB
1441292588838,BM,2,10,RGB
1441295681140,BM,1,10,RGB
1441295788175,BM,2,10,RGB
1441466623642,BM,1,10,TMP
1441364868815,BM,1,11,BTN
1441446407238,BM,1,11,BTN
1441456845763,BM,1,11,BTN
1441470688815,BM,1,11,BTN
1441360656824,BM,1,11,COL
1441547080865,BM,1,11,LED
1441547894732,BM,2,11,LED
1441286974018,BM,1,11,PEZ
1441355491478,BM,1,11,PEZ
1441356169087,BM,2,11,PEZ
1441362812827,BM,1,11,POT
1441378956660,BM,1,11,POT
1441549648906,BM,1,11,POT
1441266505521,BM,1,11,RGB
1441266876987,BM,1,11,RGB
1441295938885,BM,1,11,RGB
1441369809609,BM,1,11,RGB
1441382687587,BM,1,11,RGB
1441444873780,BM,1,11,RGB
1441469444829,BM,1,11,RGB
1441444062011,BM,1,11,TMP
1441628212632,BM,1,11,TMP
1441551523909,BM,1,12,ACR
1441551623926,BM,2,12,ACR
1441271831498,BM,1,12,BTN
1441364150664,BM,1,12,BTN
1441466040899,BM,1,12,BTN
1441542310326,BM,1,12,BTN
1441542318687,BM,2,12,BTN
1441443585932,BM,1,12,PEZ
1441269198432,BM,1,12,POT
1441547091591,BM,1,12,POT
1441547891280,BM,2,12,POT
1441621838095,BM,1,12,POT
1441384839474,BM,1,133,PEZ
1441384861059,BM,2,133,PEZ
1441369810792,BM,1,13,ACR
1441628215579,BM,1,13,ACR
1441364872703,BM,1,13,BTN
1441367294658,BM,1,13,BTN
1441361583064,BM,1,13,LED
1441446429394,BM,1,13,PEZ
1441269051407,BM,1,13,POT
1441281602413,BM,1,13,POT
1441461352134,BM,1,13,POT
1441266507408,BM,1,13,RGB
1441266885405,BM,1,13,RGB
1441378985310,BM,1,13,RGB
1441364152646,BM,1,14,BTN
1441555396744,BM,1,14,LED
1441621544403,BM,1,14,PEZ
1441280041186,BM,1,14,RGB
1441280044248,BM,2,14,RGB
1441471654237,BM,1,14,RGB
1441534313949,BM,1,14,RGB
1441468213459,BM,1,14,TMP
1441468341467,BM,2,14,TMP
1441463832865,BM,1,15,ACR
1441272865203,BM,1,15,BTN
1441354353119,BM,1,15,PEZ
1441361585133,BM,1,15,PEZ
1441379003112,BM,1,15,PEZ
1441623312954,BM,1,15,PEZ
1441266896450,BM,1,15,PONG
1441533488518,BM,1,15,POT
